ID	Symbol	Type
8503	PIK3R3	protein-coding
10103	TSPAN1	protein-coding
110117498	P3R3URF	protein-coding
55624	POMGNT1	protein-coding
541468	LURAP1	protein-coding
8438	RAD54L	protein-coding
10489	LRRC41	protein-coding
7388	UQCRH	protein-coding
387338	NSUN4	protein-coding
2166	FAAH	protein-coding
127343	DMBX1	protein-coding
105378696	TMEM275	protein-coding
148930	KNCN	protein-coding
8569	MKNK1	protein-coding
148932	MOB3C	protein-coding
64756	ATPAF1	protein-coding
374973	TEX38	protein-coding
9813	EFCAB14	protein-coding
1580	CYP4B1	protein-coding
1579	CYP4A11	protein-coding
260293	CYP4X1	protein-coding
199974	CYP4Z1	protein-coding
284541	CYP4A22	protein-coding
10158	PDZK1IP1	protein-coding
6886	TAL1	protein-coding
6491	STIL	protein-coding
51727	CMPK1	protein-coding
2301	FOXE3	protein-coding
2306	FOXD2	protein-coding
388630	TRABD2B	protein-coding
200010	SLC5A9	protein-coding
54558	SPATA6	protein-coding
84871	AGBL4	protein-coding
79656	BEND5	protein-coding
1996	ELAVL4	protein-coding
63950	DMRTA2	protein-coding
11124	FAF1	protein-coding
1031	CDKN2C	protein-coding
284546	C1orf185	protein-coding
26994	RNF11	protein-coding
22996	TTC39A	protein-coding
2060	EPS15	protein-coding
114883	OSBPL9	protein-coding
4898	NRDC	protein-coding
5865	RAB3B	protein-coding
51060	TXNDC12	protein-coding
112970	KTI12	protein-coding
91408	BTF3L4	protein-coding
107984956	LOC107984956	protein-coding
9372	ZFYVE9	protein-coding
200014	CC2D1B	protein-coding
4998	ORC1	protein-coding
84950	PRPF38A	protein-coding
23318	TUT4	protein-coding
2882	GPX7	protein-coding
348378	SHISAL2A	protein-coding
65260	COA7	protein-coding
79699	ZYG11B	protein-coding
440590	ZYG11A	protein-coding
55268	ECHDC2	protein-coding
6342	SCP2	protein-coding
127435	PODN	protein-coding
6512	SLC1A7	protein-coding
1376	CPT2	protein-coding
54987	CZIB	protein-coding
4116	MAGOH	protein-coding
7804	LRP8	protein-coding
63948	DMRTB1	protein-coding
148979	GLIS1	protein-coding
55706	NDC1	protein-coding
54432	YIPF1	protein-coding
1733	DIO1	protein-coding
51668	HSPB11	protein-coding
115353	LRRC42	protein-coding
388633	LDLRAD1	protein-coding
9528	TMEM59	protein-coding
127428	TCEANC2	protein-coding
200008	CDCP2	protein-coding
606495	CYB5RL	protein-coding
51253	MRPL37	protein-coding
23648	SSBP3	protein-coding
26027	ACOT11	protein-coding
338094	FAM151A	protein-coding
374977	MROH7	protein-coding
7268	TTC4	protein-coding
25973	PARS2	protein-coding
55001	TTC22	protein-coding
163747	LEXM	protein-coding
1718	DHCR24	protein-coding
199964	TMEM61	protein-coding
7809	BSND	protein-coding
255738	PCSK9	protein-coding
23358	USP24	protein-coding
8613	PLPP3	protein-coding
5563	PRKAA2	protein-coding
199920	FYB2	protein-coding
731	C8A	protein-coding
732	C8B	protein-coding
1600	DAB1	protein-coding
115209	OMA1	protein-coding
4070	TACSTD2	protein-coding
114803	MYSM1	protein-coding
3725	JUN	protein-coding
55277	FGGY	protein-coding
51361	HOOK1	protein-coding
1573	CYP2J2	protein-coding
127795	C1orf87	protein-coding
4774	NFIA	protein-coding
83941	TM2D1	protein-coding
10207	PATJ	protein-coding
54596	L1TD1	protein-coding
163782	KANK4	protein-coding
7398	USP1	protein-coding
85440	DOCK7	protein-coding
27329	ANGPTL3	protein-coding
84938	ATG4C	protein-coding
